EmployeeID,EmployeeName,Gender,Age,Department,JobRole,Salary,Bonus,PerformanceRating,TrainingHours,AttendancePercent,LeaveDays,OvertimeHours,WorkMode,RecruitmentSource,JobSatisfaction,Attrition,AttritionFlag,AgeGroup,SalaryBand,AttendanceStatus,LeaveCategory
EMP0016,Employee_16,Male,46,IT,Specialist,126908,7905,1,91,84.7,23,19,On-site,LinkedIn,2,No,0,40-49,High (>$120k),Needs Attention,High (>15 days)
EMP0017,Employee_17,Male,33,Operations,Director,150335,9993,4,25,86.1,4,7,Remote,LinkedIn,2,No,0,30-39,High (>$120k),Good,Low (<5 days)
EMP0018,Employee_18,Female,36,Finance,Executive,78437,10338,3,13,97.3,23,6,Remote,LinkedIn,3,No,0,30-39,Medium ($70k-$120k),Excellent,High (>15 days)
EMP0019,Employee_19,Male,47,Finance,Analyst,75503,5578,5,21,85.3,2,5,Hybrid,Agency,4,No,0,40-49,Medium ($70k-$120k),Good,Low (<5 days)
EMP0020,Employee_20,Male,47,HR,Manager,136282,13834,3,38,78.6,28,10,Remote,Website,2,No,0,40-49,High (>$120k),Needs Attention,High (>15 days)
EMP0021,Employee_21,Female,53,IT,Manager,133459,18004,5,16,88.1,27,17,Remote,Referral,3,Yes,1,50+,High (>$120k),Good,High (>15 days)
EMP0022,Employee_22,Male,31,Operations,Executive,115403,6548,4,23,99.1,6,28,Remote,LinkedIn,1,No,0,30-39,Medium ($70k-$120k),Excellent,Medium (5-15 days)
EMP0023,Employee_23,Male,37,Operations,Analyst,81258,7381,3,21,90.2,23,24,Remote,Website,5,No,0,30-39,Medium ($70k-$120k),Good,High (>15 days)
EMP0024,Employee_24,Male,28,Finance,Specialist,73724,2941,3,14,99.6,21,20,Hybrid,Referral,4,No,0,<30 (Gen Z/Young Millennial),Medium ($70k-$120k),Excellent,High (>15 days)
EMP0025,Employee_25,Male,38,IT,Director,104286,5695,5,90,96,12,2,Hybrid,LinkedIn,3,No,0,30-39,Medium ($70k-$120k),Excellent,Medium (5-15 days)
EMP0026,Employee_26,Female,44,HR,Analyst,114842,6401,4,41,75.9,28,17,Remote,Referral,1,Yes,1,40-49,Medium ($70k-$120k),Needs Attention,High (>15 days)
EMP0027,Employee_27,Male,47,IT,Manager,144927,15179,2,83,91.5,22,23,Remote,Referral,5,No,0,40-49,High (>$120k),Good,High (>15 days)
EMP0028,Employee_28,Male,42,Sales,Executive,54908,14456,3,52,82.2,29,37,Hybrid,Website,1,No,0,40-49,Low (<$70k),Needs Attention,High (>15 days)
EMP0029,Employee_29,Female,43,IT,Executive,132617,13097,3,90,89,27,9,Hybrid,Referral,3,No,0,40-49,High (>$120k),Good,High (>15 days)
EMP0030,Employee_30,Male,28,Sales,Director,90626,6197,1,78,82,17,26,Remote,LinkedIn,2,No,0,<30 (Gen Z/Young Millennial),Medium ($70k-$120k),Needs Attention,High (>15 days)
EMP0031,Employee_31,Female,35,Sales,Executive,77228,5450,3,54,83.7,23,11,On-site,Website,5,No,0,30-39,Medium ($70k-$120k),Needs Attention,High (>15 days)
EMP0032,Employee_32,Male,36,HR,Executive,63386,17937,3,18,98.1,20,6,Hybrid,Agency,1,No,0,30-39,Low (<$70k),Excellent,High (>15 days)
EMP0033,Employee_33,Male,28,Finance,Analyst,86754,17396,4,58,80.2,6,16,Hybrid,Agency,2,No,0,<30 (Gen Z/Young Millennial),Medium ($70k-$120k),Needs Attention,Medium (5-15 days)
EMP0034,Employee_34,Female,30,IT,Specialist,150942,8378,3,42,96.9,0,0,Hybrid,Website,4,Yes,1,30-39,High (>$120k),Excellent,Low (<5 days)
EMP0035,Employee_35,Female,29,Sales,Director,68302,1881,4,27,75.8,4,25,Remote,Agency,3,No,0,<30 (Gen Z/Young Millennial),Low (<$70k),Needs Attention,Low (<5 days)
EMP0036,Employee_36,Female,44,IT,Analyst,100815,6799,1,18,77.3,16,14,Remote,Referral,3,No,0,40-49,Medium ($70k-$120k),Needs Attention,High (>15 days)
EMP0037,Employee_37,Male,50,Finance,Specialist,124748,14597,3,71,96.4,27,32,Hybrid,LinkedIn,5,No,0,50+,High (>$120k),Excellent,High (>15 days)
EMP0038,Employee_38,Male,39,Finance,Analyst,103344,13675,3,66,90.8,28,36,Remote,Referral,1,No,0,30-39,Medium ($70k-$120k),Good,High (>15 days)
EMP0039,Employee_39,Female,52,Operations,Analyst,75618,4586,3,38,93.7,7,30,Remote,Website,4,Yes,1,50+,Medium ($70k-$120k),Good,Medium (5-15 days)
EMP0040,Employee_40,Male,51,Finance,Executive,151603,8430,2,87,80.2,14,34,Hybrid,LinkedIn,5,No,0,50+,High (>$120k),Needs Attention,Medium (5-15 days)
EMP0041,Employee_41,Male,56,HR,Specialist,116234,2345,3,34,88.4,19,0,Remote,Website,5,Yes,1,50+,Medium ($70k-$120k),Good,High (>15 days)
EMP0042,Employee_42,Male,39,Sales,Director,101114,16459,3,24,93.4,3,7,On-site,Website,1,No,0,30-39,Medium ($70k-$120k),Good,Low (<5 days)
EMP0043,Employee_43,Male,38,Operations,Director,157652,9548,3,15,90.7,1,11,Remote,Website,4,Yes,1,30-39,High (>$120k),Good,Low (<5 days)
EMP0044,Employee_44,Female,35,HR,Specialist,110130,5877,3,51,86.8,4,18,Remote,Referral,1,No,0,30-39,Medium ($70k-$120k),Good,Low (<5 days)
EMP0045,Employee_45,Male,52,IT,Executive,65525,6785,3,38,99,0,24,Hybrid,LinkedIn,3,No,0,50+,Low (<$70k),Excellent,Low (<5 days)
EMP0046,Employee_46,Female,45,Sales,Manager,119818,15833,4,88,91.9,24,31,Hybrid,LinkedIn,2,No,0,40-49,Medium ($70k-$120k),Good,High (>15 days)
EMP0047,Employee_47,Male,56,Finance,Analyst,154589,4922,4,13,97.7,4,11,On-site,LinkedIn,3,Yes,1,50+,High (>$120k),Excellent,Low (<5 days)
EMP0048,Employee_48,Female,55,Sales,Executive,54334,18714,3,91,93.2,5,12,Remote,Referral,3,No,0,50+,Low (<$70k),Good,Low (<5 days)
EMP0049,Employee_49,Female,24,IT,Specialist,134715,4686,3,66,93.4,1,27,On-site,Agency,5,No,0,<30 (Gen Z/Young Millennial),High (>$120k),Good,Low (<5 days)
EMP0050,Employee_50,Male,58,Operations,Analyst,102767,14407,2,58,77,25,0,On-site,Referral,3,No,0,50+,Medium ($70k-$120k),Needs Attention,High (>15 days)
EMP0051,Employee_51,Female,47,Operations,Director,46644,18286,5,53,84,25,5,Hybrid,Referral,4,No,0,40-49,Low (<$70k),Needs Attention,High (>15 days)
EMP0052,Employee_52,Female,44,Operations,Manager,141154,12205,2,89,96.5,0,7,Remote,Website,3,No,0,40-49,High (>$120k),Excellent,Low (<5 days)
EMP0053,Employee_53,Female,36,Finance,Director,153237,13179,3,84,80.8,3,3,Hybrid,LinkedIn,4,No,0,30-39,High (>$120k),Needs Attention,Low (<5 days)
EMP0054,Employee_54,Female,25,HR,Specialist,72933,18443,3,23,77.9,6,4,On-site,LinkedIn,1,No,0,<30 (Gen Z/Young Millennial),Medium ($70k-$120k),Needs Attention,Medium (5-15 days)
EMP0055,Employee_55,Female,50,HR,Analyst,83469,16524,3,12,83.2,21,24,On-site,Agency,5,Yes,1,50+,Medium ($70k-$120k),Needs Attention,High (>15 days)
EMP0056,Employee_56,Female,43,Sales,Specialist,73687,18173,3,71,80.5,25,21,Hybrid,Agency,4,No,0,40-49,Medium ($70k-$120k),Needs Attention,High (>15 days)
EMP0057,Employee_57,Male,46,Finance,Analyst,146609,16,4,73,98.1,0,27,Hybrid,Website,3,No,0,40-49,High (>$120k),Excellent,Low (<5 days)
EMP0058,Employee_58,Male,34,Operations,Executive,92656,13374,2,54,96.7,0,38,Hybrid,LinkedIn,5,Yes,1,30-39,Medium ($70k-$120k),Excellent,Low (<5 days)
EMP0059,Employee_59,Male,39,Operations,Manager,57375,16848,3,91,87.5,7,22,Hybrid,Agency,5,No,0,30-39,Low (<$70k),Good,Medium (5-15 days)
EMP0060,Employee_60,Male,54,IT,Executive,154019,18211,2,67,76.5,19,3,Hybrid,Agency,4,No,0,50+,High (>$120k),Needs Attention,High (>15 days)
EMP0061,Employee_61,Male,37,IT,Executive,105206,5956,2,29,92.9,15,3,On-site,LinkedIn,4,No,0,30-39,Medium ($70k-$120k),Good,Medium (5-15 days)
EMP0062,Employee_62,Male,23,Operations,Specialist,136462,16473,4,67,90.6,20,20,Hybrid,Referral,2,No,0,<30 (Gen Z/Young Millennial),High (>$120k),Good,High (>15 days)
EMP0063,Employee_63,Female,56,Operations,Manager,76607,4815,3,98,99.3,12,36,Remote,Agency,2,Yes,1,50+,Medium ($70k-$120k),Excellent,Medium (5-15 days)
EMP0064,Employee_64,Male,55,Finance,Analyst,123178,19235,4,66,89,22,1,On-site,LinkedIn,5,No,0,50+,High (>$120k),Good,High (>15 days)
EMP0065,Employee_65,Male,51,HR,Analyst,63993,2843,3,86,83.4,23,6,On-site,Agency,2,No,0,50+,Low (<$70k),Needs Attention,High (>15 days)
EMP0066,Employee_66,Female,34,IT,Director,84386,15972,2,77,88,25,15,Remote,Website,3,Yes,1,30-39,Medium ($70k-$120k),Good,High (>15 days)
EMP0067,Employee_67,Male,34,HR,Analyst,86287,17353,5,87,99.5,22,16,Remote,Agency,1,No,0,30-39,Medium ($70k-$120k),Excellent,High (>15 days)
EMP0068,Employee_68,Female,39,Finance,Specialist,126724,1094,3,61,92.4,17,19,On-site,LinkedIn,5,Yes,1,30-39,High (>$120k),Good,High (>15 days)
EMP0069,Employee_69,Male,53,Operations,Executive,138132,6124,4,46,91.8,29,22,Hybrid,Agency,1,No,0,50+,High (>$120k),Good,High (>15 days)
EMP0070,Employee_70,Non-Binary,53,HR,Executive,133308,19579,3,17,81,19,33,On-site,Website,2,No,0,50+,High (>$120k),Needs Attention,High (>15 days)
EMP0071,Employee_71,Female,56,Operations,Executive,136393,1404,4,53,93.6,9,10,On-site,Website,4,No,0,50+,High (>$120k),Good,Medium (5-15 days)
EMP0072,Employee_72,Male,50,Operations,Manager,116312,3982,1,14,93.8,11,33,Remote,Agency,5,Yes,1,50+,Medium ($70k-$120k),Good,Medium (5-15 days)
EMP0073,Employee_73,Male,50,Sales,Analyst,138371,12515,3,78,82.9,0,32,On-site,Agency,2,Yes,1,50+,High (>$120k),Needs Attention,Low (<5 days)
EMP0074,Employee_74,Female,37,HR,Specialist,115324,15790,4,40,87.1,9,25,Hybrid,Website,3,No,0,30-39,Medium ($70k-$120k),Good,Medium (5-15 days)
EMP0075,Employee_75,Female,31,HR,Manager,111196,12205,4,54,82.4,8,1,Remote,Website,5,Yes,1,30-39,Medium ($70k-$120k),Needs Attention,Medium (5-15 days)
EMP0076,Employee_76,Female,51,Operations,Director,110014,12748,4,18,81.5,2,22,On-site,Referral,5,No,0,50+,Medium ($70k-$120k),Needs Attention,Low (<5 days)
EMP0077,Employee_77,Female,46,Finance,Specialist,48210,3092,4,41,75.6,27,21,On-site,Referral,4,No,0,40-49,Low (<$70k),Needs Attention,High (>15 days)
EMP0078,Employee_78,Male,41,Sales,Specialist,50922,13971,4,42,82.1,18,33,Hybrid,Website,5,No,0,40-49,Low (<$70k),Needs Attention,High (>15 days)
EMP0079,Employee_79,Male,26,Operations,Specialist,76289,14616,3,76,88.8,25,14,On-site,Agency,4,No,0,<30 (Gen Z/Young Millennial),Medium ($70k-$120k),Good,High (>15 days)
EMP0080,Employee_80,Male,22,IT,Executive,73340,4933,3,39,75,8,9,On-site,LinkedIn,2,No,0,<30 (Gen Z/Young Millennial),Medium ($70k-$120k),Needs Attention,Medium (5-15 days)
EMP0081,Employee_81,Female,51,IT,Specialist,79850,4926,3,85,82.1,9,14,On-site,Agency,3,No,0,50+,Medium ($70k-$120k),Needs Attention,Medium (5-15 days)
EMP0082,Employee_82,Female,24,Sales,Analyst,96984,3969,3,38,97,18,28,On-site,Agency,3,No,0,<30 (Gen Z/Young Millennial),Medium ($70k-$120k),Excellent,High (>15 days)
EMP0083,Employee_83,Male,35,Finance,Specialist,143699,2965,3,12,89.8,15,22,Hybrid,Referral,5,No,0,30-39,High (>$120k),Good,Medium (5-15 days)
EMP0084,Employee_84,Male,51,Operations,Executive,153711,4319,3,99,90.2,23,16,On-site,Referral,5,No,0,50+,High (>$120k),Good,High (>15 days)
EMP0085,Employee_85,Male,25,HR,Specialist,124178,8975,3,66,85.1,17,8,On-site,Referral,2,No,0,<30 (Gen Z/Young Millennial),High (>$120k),Good,High (>15 days)
EMP0086,Employee_86,Male,39,Sales,Director,51094,7108,3,39,91.9,13,35,On-site,Website,4,No,0,30-39,Low (<$70k),Good,Medium (5-15 days)
EMP0087,Employee_87,Female,58,Finance,Director,127959,9141,3,18,79.7,28,8,Remote,Website,3,Yes,1,50+,High (>$120k),Needs Attention,High (>15 days)
EMP0088,Employee_88,Female,46,HR,Executive,73418,16428,3,35,95.5,2,15,Hybrid,Agency,4,No,0,40-49,Medium ($70k-$120k),Excellent,Low (<5 days)
EMP0089,Employee_89,Female,22,IT,Analyst,45741,1810,3,11,77.9,1,35,Remote,Agency,2,No,0,<30 (Gen Z/Young Millennial),Low (<$70k),Needs Attention,Low (<5 days)
EMP0090,Employee_90,Male,36,IT,Analyst,151585,10273,4,71,91.4,0,32,Remote,LinkedIn,3,No,0,30-39,High (>$120k),Good,Low (<5 days)
EMP0091,Employee_91,Male,30,HR,Manager,112374,9021,3,12,83.5,17,30,Hybrid,Agency,3,No,0,30-39,Medium ($70k-$120k),Needs Attention,High (>15 days)
EMP0092,Employee_92,Female,36,Sales,Executive,157275,18293,3,55,93.7,23,5,Remote,Agency,1,Yes,1,30-39,High (>$120k),Good,High (>15 days)
EMP0093,Employee_93,Female,45,IT,Specialist,108798,6364,3,77,88.7,8,9,Remote,Referral,2,Yes,1,40-49,Medium ($70k-$120k),Good,Medium (5-15 days)
EMP0094,Employee_94,Female,25,Operations,Executive,156026,2581,3,34,86.3,12,15,Remote,Referral,2,No,0,<30 (Gen Z/Young Millennial),High (>$120k),Good,Medium (5-15 days)
EMP0095,Employee_95,Female,33,HR,Manager,110532,691,2,60,79.2,1,3,Hybrid,Referral,1,No,0,30-39,Medium ($70k-$120k),Needs Attention,Low (<5 days)
EMP0096,Employee_96,Male,58,HR,Executive,150130,931,3,22,90.9,6,21,On-site,Referral,4,No,0,50+,High (>$120k),Good,Medium (5-15 days)
EMP0097,Employee_97,Female,58,IT,Executive,62164,13128,3,53,99.4,15,12,Hybrid,Referral,1,No,0,50+,Low (<$70k),Excellent,Medium (5-15 days)
EMP0098,Employee_98,Male,27,Sales,Manager,75595,14226,1,44,95.6,20,15,Hybrid,LinkedIn,2,No,0,<30 (Gen Z/Young Millennial),Medium ($70k-$120k),Excellent,High (>15 days)
EMP0099,Employee_99,Male,45,Operations,Analyst,70257,13861,3,64,76.5,18,28,Hybrid,LinkedIn,4,No,0,40-49,Medium ($70k-$120k),Needs Attention,High (>15 days)
EMP0100,Employee_100,Male,32,Sales,Specialist,54211,15475,5,96,84.4,24,5,Remote,LinkedIn,3,Yes,1,30-39,Low (<$70k),Needs Attention,High (>15 days)
EMP0101,Employee_101,Male,34,Finance,Manager,135989,3406,5,18,98.1,14,25,On-site,Referral,1,No,0,30-39,High (>$120k),Excellent,Medium (5-15 days)
EMP0102,Employee_102,Female,55,Finance,Director,45232,8339,3,11,87.6,21,10,Hybrid,Website,4,No,0,50+,Low (<$70k),Good,High (>15 days)
EMP0103,Employee_103,Male,46,IT,Analyst,107753,17416,1,70,91.6,10,23,Hybrid,Referral,4,No,0,40-49,Medium ($70k-$120k),Good,Medium (5-15 days)
EMP0104,Employee_104,Male,28,IT,Director,92691,17695,3,50,97.8,0,28,On-site,Referral,4,No,0,<30 (Gen Z/Young Millennial),Medium ($70k-$120k),Excellent,Low (<5 days)
EMP0105,Employee_105,Female,25,IT,Analyst,129765,8579,3,53,96.8,20,2,On-site,LinkedIn,1,No,0,<30 (Gen Z/Young Millennial),High (>$120k),Excellent,High (>15 days)
EMP0106,Employee_106,Male,29,Finance,Specialist,119768,3121,4,73,87.5,6,9,On-site,Referral,3,No,0,<30 (Gen Z/Young Millennial),Medium ($70k-$120k),Good,Medium (5-15 days)
EMP0107,Employee_107,Male,41,Sales,Specialist,65613,18257,2,40,85.9,19,0,Remote,LinkedIn,4,No,0,40-49,Low (<$70k),Good,High (>15 days)
EMP0108,Employee_108,Female,50,Sales,Executive,54026,15946,4,56,83.5,7,25,On-site,Referral,1,No,0,50+,Low (<$70k),Needs Attention,Medium (5-15 days)
EMP0109,Employee_109,Male,31,IT,Director,93535,3748,2,11,93,9,11,Remote,Agency,2,No,0,30-39,Medium ($70k-$120k),Good,Medium (5-15 days)
EMP0110,Employee_110,Male,55,Operations,Analyst,134090,277,5,91,82.2,4,13,Hybrid,Website,1,No,0,50+,High (>$120k),Needs Attention,Low (<5 days)
EMP0111,Employee_111,Male,47,Sales,Specialist,70908,18243,3,86,81.2,8,24,Remote,Website,1,No,0,40-49,Medium ($70k-$120k),Needs Attention,Medium (5-15 days)
EMP0112,Employee_112,Male,24,Finance,Manager,92113,11563,4,78,83.9,24,7,On-site,LinkedIn,1,No,0,<30 (Gen Z/Young Millennial),Medium ($70k-$120k),Needs Attention,High (>15 days)
EMP0113,Employee_113,Female,27,HR,Specialist,59610,6792,3,67,79.4,24,3,Remote,Agency,4,No,0,<30 (Gen Z/Young Millennial),Low (<$70k),Needs Attention,High (>15 days)
EMP0114,Employee_114,Female,26,HR,Manager,86646,13918,3,53,92.4,0,27,On-site,Website,1,No,0,<30 (Gen Z/Young Millennial),Medium ($70k-$120k),Good,Low (<5 days)
EMP0115,Employee_115,Female,26,HR,Analyst,145141,10374,3,83,90.4,1,6,Remote,LinkedIn,2,Yes,1,<30 (Gen Z/Young Millennial),High (>$120k),Good,Low (<5 days)
EMP0116,Employee_116,Female,44,Operations,Specialist,103185,4675,2,65,87.1,18,9,Hybrid,Referral,4,Yes,1,40-49,Medium ($70k-$120k),Good,High (>15 days)
EMP0117,Employee_117,Female,30,IT,Specialist,112567,1170,4,52,84.8,13,35,Remote,Referral,2,No,0,30-39,Medium ($70k-$120k),Needs Attention,Medium (5-15 days)
EMP0118,Employee_118,Male,56,Finance,Analyst,87574,8681,4,98,97.7,19,1,Hybrid,Agency,5,No,0,50+,Medium ($70k-$120k),Excellent,High (>15 days)
EMP0119,Employee_119,Female,41,Operations,Specialist,131051,10717,4,43,75.7,9,25,On-site,Website,1,No,0,40-49,High (>$120k),Needs Attention,Medium (5-15 days)
EMP0120,Employee_120,Female,56,Finance,Manager,142020,12450,3,39,94.2,8,13,Hybrid,Referral,4,No,0,50+,High (>$120k),Good,Medium (5-15 days)
EMP0121,Employee_121,Female,39,Finance,Specialist,76182,10680,4,80,97.5,9,15,On-site,LinkedIn,4,No,0,30-39,Medium ($70k-$120k),Excellent,Medium (5-15 days)
EMP0122,Employee_122,Female,38,IT,Director,156136,10068,2,79,86.2,28,16,On-site,Referral,1,No,0,30-39,High (>$120k),Good,High (>15 days)
EMP0123,Employee_123,Male,45,HR,Executive,40570,2462,3,64,88.8,5,21,Hybrid,Referral,3,Yes,1,40-49,Low (<$70k),Good,Low (<5 days)
EMP0124,Employee_124,Male,24,IT,Manager,137790,13650,3,76,98.6,16,3,Hybrid,Website,3,No,0,<30 (Gen Z/Young Millennial),High (>$120k),Excellent,High (>15 days)
EMP0125,Employee_125,Male,53,Operations,Director,59288,287,3,22,80.3,27,18,Remote,Website,2,No,0,50+,Low (<$70k),Needs Attention,High (>15 days)
EMP0126,Employee_126,Male,56,Operations,Analyst,118824,18291,3,12,88,24,1,Remote,LinkedIn,1,No,0,50+,Medium ($70k-$120k),Good,High (>15 days)
EMP0127,Employee_127,Female,59,Operations,Manager,69877,1161,2,35,86.9,5,38,Hybrid,Agency,1,Yes,1,50+,Low (<$70k),Good,Low (<5 days)
EMP0128,Employee_128,Female,34,IT,Executive,124425,16513,3,66,81.5,3,8,Hybrid,Agency,5,No,0,30-39,High (>$120k),Needs Attention,Low (<5 days)
EMP0129,Employee_129,Male,46,Finance,Executive,40917,2363,4,33,95.5,29,18,Hybrid,Referral,3,No,0,40-49,Low (<$70k),Excellent,High (>15 days)
EMP0130,Employee_130,Male,30,Finance,Analyst,115602,5983,3,62,97.5,19,15,Hybrid,LinkedIn,3,Yes,1,30-39,Medium ($70k-$120k),Excellent,High (>15 days)
EMP0131,Employee_131,Male,25,Sales,Analyst,135040,16527,2,79,94.5,2,24,On-site,Agency,1,No,0,<30 (Gen Z/Young Millennial),High (>$120k),Good,Low (<5 days)
EMP0132,Employee_132,Male,35,Operations,Manager,104575,8207,3,52,79.9,22,17,Hybrid,Agency,2,No,0,30-39,Medium ($70k-$120k),Needs Attention,High (>15 days)
EMP0133,Employee_133,Male,58,Finance,Specialist,112518,14758,3,69,77.2,18,22,Hybrid,Referral,1,No,0,50+,Medium ($70k-$120k),Needs Attention,High (>15 days)
EMP0134,Employee_134,Male,55,Sales,Analyst,79104,244,3,67,90.1,17,20,Hybrid,LinkedIn,2,No,0,50+,Medium ($70k-$120k),Good,High (>15 days)
EMP0135,Employee_135,Female,32,Finance,Specialist,58062,17310,3,58,76.4,25,10,Hybrid,Agency,3,No,0,30-39,Low (<$70k),Needs Attention,High (>15 days)
EMP0136,Employee_136,Male,24,Operations,Director,56999,3178,3,51,91.8,23,38,On-site,Website,5,No,0,<30 (Gen Z/Young Millennial),Low (<$70k),Good,High (>15 days)
EMP0137,Employee_137,Male,49,HR,Executive,101845,2176,3,85,88.3,3,3,Remote,Website,4,No,0,40-49,Medium ($70k-$120k),Good,Low (<5 days)
EMP0138,Employee_138,Female,50,Operations,Specialist,49941,5002,3,75,91.6,7,24,Remote,Referral,3,No,0,50+,Low (<$70k),Good,Medium (5-15 days)
EMP0139,Employee_139,Male,30,IT,Executive,101169,886,4,20,89.8,16,31,Remote,Referral,2,No,0,30-39,Medium ($70k-$120k),Good,High (>15 days)
EMP0140,Employee_140,Non-Binary,24,Finance,Specialist,63470,19782,3,99,85.6,4,29,Remote,Referral,1,No,0,<30 (Gen Z/Young Millennial),Low (<$70k),Good,Low (<5 days)
EMP0141,Employee_141,Female,46,Finance,Director,150684,13721,3,27,80,12,25,Remote,Referral,3,No,0,40-49,High (>$120k),Needs Attention,Medium (5-15 days)
EMP0142,Employee_142,Male,55,IT,Analyst,99821,12142,4,94,82.6,24,35,On-site,Agency,5,Yes,1,50+,Medium ($70k-$120k),Needs Attention,High (>15 days)
EMP0143,Employee_143,Male,33,IT,Director,126669,2654,3,61,88.1,0,33,Remote,LinkedIn,2,Yes,1,30-39,High (>$120k),Good,Low (<5 days)
EMP0144,Employee_144,Male,30,HR,Analyst,158193,11984,2,55,91.3,26,8,On-site,Referral,1,No,0,30-39,High (>$120k),Good,High (>15 days)
EMP0145,Employee_145,Male,36,Finance,Analyst,84435,17755,4,53,94.5,12,11,On-site,Referral,4,No,0,30-39,Medium ($70k-$120k),Good,Medium (5-15 days)
EMP0146,Employee_146,Male,46,Finance,Executive,44529,7135,3,31,94.2,3,1,Remote,Agency,2,No,0,40-49,Low (<$70k),Good,Low (<5 days)
EMP0147,Employee_147,Female,26,HR,Director,123055,320,3,62,99.3,21,37,Remote,Referral,1,No,0,<30 (Gen Z/Young Millennial),High (>$120k),Excellent,High (>15 days)
EMP0148,Employee_148,Male,32,Sales,Specialist,52192,4654,1,68,82.1,25,4,Remote,Referral,4,No,0,30-39,Low (<$70k),Needs Attention,High (>15 days)
EMP0149,Employee_149,Male,55,HR,Director,114102,16131,3,39,76.8,23,4,Hybrid,LinkedIn,1,No,0,50+,Medium ($70k-$120k),Needs Attention,High (>15 days)
EMP0150,Employee_150,Male,45,Operations,Executive,112762,10770,3,17,83.6,13,21,On-site,Website,4,No,0,40-49,Medium ($70k-$120k),Needs Attention,Medium (5-15 days)
EMP0151,Employee_151,Female,36,Finance,Analyst,143466,6553,2,66,93.6,2,4,Remote,Referral,4,No,0,30-39,High (>$120k),Good,Low (<5 days)
EMP0152,Employee_152,Male,59,IT,Executive,154894,11559,3,82,86,4,3,Hybrid,Agency,4,No,0,50+,High (>$120k),Good,Low (<5 days)
EMP0153,Employee_153,Male,29,Operations,Manager,126795,9009,3,29,95.4,6,8,On-site,LinkedIn,1,No,0,<30 (Gen Z/Young Millennial),High (>$120k),Excellent,Medium (5-15 days)
EMP0154,Employee_154,Male,26,Finance,Manager,74087,13482,3,34,88.7,0,28,Hybrid,Agency,4,No,0,<30 (Gen Z/Young Millennial),Medium ($70k-$120k),Good,Low (<5 days)
EMP0155,Employee_155,Non-Binary,47,HR,Specialist,106677,7498,2,28,98.2,22,21,Hybrid,LinkedIn,2,No,0,40-49,Medium ($70k-$120k),Excellent,High (>15 days)
